Kata,POS Tag,Frekuensi
berantakan,NOUN,2
indonesia,PROPN,6
tersedia,VERB,2
pake,VERB,45
journalnya,NOUN,2
menambah,VERB,6
harinya,NOUN,2
job,NOUN,6
pengendalian,NOUN,1
platform,NOUN,2
psikologi,NOUN,9
spesifik,ADJ,1
pelajar,NOUN,5
apknya,PROPN,6
bantuannya,NOUN,7
dikit,NOUN,6
menyelesaikan,VERB,8
ucapkan,NOUN,2
tracking,NOUN,1
messi,PROPN,1
pakenya,NOUN,1
kenya,PROPN,1
post,NOUN,4
if,NOUN,1
vibes,NOUN,1
keknya,PROPN,1
error,PROPN,15
pencet,PROPN,3
next,PROPN,2
menghadapi,VERB,7
harihari,PROPN,1
penemu,NOUN,1
kontributor,NOUN,1
berterima,VERB,4
berkat,VERB,8
baikbaik,NUM,2
bahagia,NOUN,6
selalu,ADV,1
baikk,PROPN,1
lbh,NOUN,6
semangatsemangat,PROPN,1
masukan,NOUN,12
tmndoi,NUM,1
privacy,PROPN,2
terungkap,VERB,1
applikasi,NOUN,4
bicarain,VERB,1
emosinya,NOUN,2
nggk,NOUN,6
sistem,NOUN,1
kesal,VERB,2
hai,X,9
metode,NOUN,5
kreditdebit,NOUN,1
disaat,NOUN,5
gapunya,NOUN,2
menyediakannnya,NOUN,1
sara,PROPN,1
menghakimi,VERB,2
pelayanan,NOUN,5
pengalamannya,NOUN,2
menyenangkan,ADJ,7
mengurai,VERB,1
cerna,NOUN,1
fiturfiturnya,PROPN,5
mengontrol,VERB,6
sayangnya,ADV,10
memakai,VERB,4
manfaat,NOUN,3
penggunanya,NOUN,4
m,NOUN,2
confused,NOUN,1
about,PROPN,1
what,NOUN,3
give,NOUN,1
review,VERB,2
but,NOUN,4
main,VERB,1
thing,NOUN,1
is,PROPN,10
that,PROPN,1
application,NOUN,2
useful,NOUN,3
me,PROPN,10
who,PROPN,2
experiencing,NOUN,1
decline,NUM,1
aktivitas,NOUN,2
positif,ADJ,11
tingkatkan,NOUN,6
